Series_reference,period,value,Status,Units,Magnitude,seasonality,SNA_Account,Transaction,Transaction_Label,Asset_type,Asset_type_label,Sector,Sector_name,Subject,year,month
SNEQ.SG07ALE00000AFA0200S100,2017.12,66212,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA02,Currency and deposits,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2017,12
SNEQ.SG07ALE00000AFA0200S100,2018.03,64807,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA02,Currency and deposits,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2018,3
SNEQ.SG07ALE00000AFA0200S100,2018.06,63669,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA02,Currency and deposits,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2018,6
SNEQ.SG07ALE00000AFA0200S100,2018.09,60420,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA02,Currency and deposits,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2018,9
SNEQ.SG07ALE00000AFA0200S100,2018.12,66325,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA02,Currency and deposits,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2018,12
SNEQ.SG07ALE00000AFA0200S100,2019.03,62960,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA02,Currency and deposits,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2019,3
SNEQ.SG07ALE00000AFA0200S100,2019.06,59389,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA02,Currency and deposits,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2019,6
SNEQ.SG07ALE00000AFA0200S100,2019.09,65628,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA02,Currency and deposits,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2019,9
SNEQ.SG07ALE00000AFA0200S100,2019.12,70792,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA02,Currency and deposits,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2019,12
SNEQ.SG07ALE00000AFA0200S100,2020.03,69988,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA02,Currency and deposits,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2020,3
SNEQ.SG07ALE00000AFA0200S100,2020.06,70521,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA02,Currency and deposits,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2020,6
SNEQ.SG07ALE00000AFA0200S100,2020.09,78669,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA02,Currency and deposits,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2020,9
SNEQ.SG07ALE00000AFA0200S100,2020.12,81204,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA02,Currency and deposits,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2020,12
SNEQ.SG07ALE00000AFA0200S100,2021.03,83460,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA02,Currency and deposits,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2021,3
SNEQ.SG07ALE00000AFA0200S100,2021.06,81466,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA02,Currency and deposits,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2021,6
SNEQ.SG07ALE00000AFA0200S100,2021.09,99435,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA02,Currency and deposits,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2021,9
SNEQ.SG07ALE00000AFA0200S100,2021.12,93117,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA02,Currency and deposits,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2021,12
SNEQ.SG07ALE00000AFA0200S100,2022.03,89623,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA02,Currency and deposits,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2022,3
SNEQ.SG07ALE00000AFA0200S100,2022.06,90277,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA02,Currency and deposits,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2022,6
SNEQ.SG07ALE00000AFA0200S100,2022.09,83558,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA02,Currency and deposits,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2022,9
SNEQ.SG07ALE00000AFA0200S100,2022.12,90035,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA02,Currency and deposits,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2022,12
SNEQ.SG07ALE00000AFA0200S100,2023.03,84300,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA02,Currency and deposits,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2023,3
SNEQ.SG07ALE00000AFA0200S100,2023.06,82053,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA02,Currency and deposits,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2023,6
SNEQ.SG07ALE00000AFA0200S100,2023.09,81989,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA02,Currency and deposits,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2023,9
SNEQ.SG07ALE00000AFA0200S100,2023.12,81148,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA02,Currency and deposits,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2023,12
SNEQ.SG07ALE00000AFA0200S100,2024.03,72938,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA02,Currency and deposits,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2024,3
SNEQ.SG07ALE00000AFA0200S100,2024.06,71527,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA02,Currency and deposits,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2024,6
SNEQ.SG07ALE00000AFA0200S100,2024.09,66822,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA02,Currency and deposits,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2024,9
SNEQ.SG07ALE00000AFA0200S100,2024.12,66301,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA02,Currency and deposits,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2024,12
SNEQ.SG07ALE00000AFA0200S100,2025.03,63609,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA02,Currency and deposits,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2025,3
SNEQ.SG07ALE00000AFA0200S100,2025.06,62248,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA02,Currency and deposits,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2025,6
SNEQ.SG07ALE00000AFA0300S100,2016.06,10933,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA03,Debt securities,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2016,6
SNEQ.SG07ALE00000AFA0300S100,2016.09,10111,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA03,Debt securities,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2016,9
SNEQ.SG07ALE00000AFA0300S100,2016.12,9393,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA03,Debt securities,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2016,12
SNEQ.SG07ALE00000AFA0300S100,2017.03,8824,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA03,Debt securities,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2017,3
SNEQ.SG07ALE00000AFA0300S100,2017.06,8308,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA03,Debt securities,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2017,6
SNEQ.SG07ALE00000AFA0300S100,2017.09,8214,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA03,Debt securities,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2017,9
SNEQ.SG07ALE00000AFA0300S100,2017.12,8349,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA03,Debt securities,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2017,12
SNEQ.SG07ALE00000AFA0300S100,2018.03,9284,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA03,Debt securities,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2018,3
SNEQ.SG07ALE00000AFA0300S100,2018.06,11513,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA03,Debt securities,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2018,6
SNEQ.SG07ALE00000AFA0300S100,2018.09,13983,Experimental,Dollars,6,A,Balance sheet,LE,Closing balance sheet,AFA03,Debt securities,1,Non-financial business enterprises,National Accounts - SNA 2008 - SNE,2018,9
